file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
level3_pronunciation_data_20,0.0,1.008,mfa_labwav,-48.34904857673267,,,21.669072895202977
level4_pronunciation_data_3,0.0,1.32,mfa_labwav,-51.10268702651515,,,22.66813507941457
level2_pronunciation_data_41,0.0,0.888,mfa_labwav,-52.80152738764045,,,22.194212135386465
level2_pronunciation_data_59,0.0,1.056,mfa_labwav,-53.43961434994104,,,25.2772801967656
level3_pronunciation_data_1,0.0,1.008,mfa_labwav,-57.88922300433168,,,23.155718225932354
level2_pronunciation_data_8,0.0,0.672,mfa_labwav,-57.030575880363806,,,23.258148723352672
level1_pronunciation_data_3,0.0,0.768,mfa_labwav,-48.1606350192776,,,21.4705969387871
level3_pronunciation_data_2,0.0,1.008,mfa_labwav,-47.815231474319305,,,22.320839361753137
level4_pronunciation_data_30,0.0,1.68,mfa_labwav,-46.95924595424107,,,28.678558087896548
level3_pronunciation_data_51,0.0,1.44,mfa_labwav,-62.278103298611114,,,24.28675200404959
level2_pronunciation_data_11,0.0,0.696,mfa_labwav,-57.19549734933036,,,16.33756081436179
level1_pronunciation_data_23,0.0,0.816,mfa_labwav,-53.76695884146341,,,21.13432412120027
level2_pronunciation_data_50,0.0,0.912,mfa_labwav,-53.14459563873626,,,21.489819449975904
level4_pronunciation_data_32,0.0,1.656,mfa_labwav,-52.61439311935241,,,22.056877120750638
level1_pronunciation_data_38,0.0,0.84,mfa_labwav,-50.00004650297619,,,23.008082864905568
level2_pronunciation_data_19,0.0,1.008,mfa_labwav,-53.21817953279703,,,24.65296483199524
level2_pronunciation_data_17,0.0,0.696,mfa_labwav,-53.83050362723214,,,21.489696115550874
level1_pronunciation_data_26,0.0,0.816,mfa_labwav,-51.16757574314025,,,21.386754187071247
level1_pronunciation_data_35,0.0,0.888,mfa_labwav,-51.395337737008425,,,23.23865506739225
level2_pronunciation_data_48,0.0,0.672,mfa_labwav,-57.001931261660445,,,22.161337608373245
level2_pronunciation_data_22,0.0,1.056,mfa_labwav,-58.569626142393865,,,24.25223642008262
level4_pronunciation_data_0,0.0,1.728,mfa_labwav,-47.99878070809248,,,28.698490730986222
level4_pronunciation_data_18,0.0,1.128,mfa_labwav,-55.38796754009956,,,29.15198394573513
level4_pronunciation_data_6,0.0,1.224,mfa_labwav,-52.83163101946721,,,27.428251765468502
level3_pronunciation_data_0,0.0,1.104,mfa_labwav,-60.74083362926137,,,21.836058232362497
level2_pronunciation_data_56,0.0,0.936,mfa_labwav,-49.861868351063826,,,18.78856918651023
level2_pronunciation_data_24,0.0,0.672,mfa_labwav,-54.386117508162314,,,19.335009084591384
level1_pronunciation_data_27,0.0,0.864,mfa_labwav,-59.214758584665695,,,20.94962116501621
level1_pronunciation_data_28,0.0,0.816,mfa_labwav,-52.85527820121951,,,19.961579938722952
level2_pronunciation_data_46,0.0,0.672,mfa_labwav,-57.3910695545709,,,18.77168546286078
level4_pronunciation_data_1,0.0,1.464,mfa_labwav,-60.020889073202056,,,29.65711097198494
level1_pronunciation_data_44,0.0,0.888,mfa_labwav,-48.97992011938202,,,26.94938562437516
level4_pronunciation_data_25,0.0,1.8,mfa_labwav,-59.092203776041664,,,24.05685091504865
level4_pronunciation_data_7,0.0,1.488,mfa_labwav,-57.60076945260067,,,13.59149951963143
level1_pronunciation_data_24,0.0,0.816,mfa_labwav,-53.135206269054876,,,19.6770403424825
level3_pronunciation_data_34,0.0,1.008,mfa_labwav,-60.14579304610149,,,22.582914617620872
level2_pronunciation_data_7,0.0,0.672,mfa_labwav,-54.982370860541046,,,22.438274208688913
level2_pronunciation_data_29,0.0,0.96,mfa_labwav,-51.74800109863281,,,18.718523792527733
level3_pronunciation_data_24,0.0,0.864,mfa_labwav,-51.37258698219477,,,24.815352690895182
level3_pronunciation_data_28,0.0,1.032,mfa_labwav,-56.34490670509709,,,17.966637734639306
level4_pronunciation_data_19,0.0,1.632,mfa_labwav,-52.23485429447853,,,25.824291673763845
level3_pronunciation_data_30,0.0,0.96,mfa_labwav,-56.17760213216146,,,21.36699960319603
level1_pronunciation_data_19,0.0,0.864,mfa_labwav,-50.074973882630815,,,22.641053936787053
level1_pronunciation_data_21,0.0,0.864,mfa_labwav,-50.93510969295058,,,22.860046603908273
level2_pronunciation_data_26,0.0,0.96,mfa_labwav,-52.90836079915365,,,23.094518788481086
level3_pronunciation_data_6,0.0,0.912,mfa_labwav,-47.77493453811813,,,23.61592336751923
level1_pronunciation_data_30,0.0,0.816,mfa_labwav,-53.358958174542686,,,19.854782440355663
level3_pronunciation_data_15,0.0,0.96,mfa_labwav,-52.069305419921875,,,28.66874689537488
level4_pronunciation_data_9,0.0,1.824,mfa_labwav,-51.500279017857146,,,28.380369152190518
level3_pronunciation_data_7,0.0,0.96,mfa_labwav,-55.6543935139974,,,22.366305712259678
level2_pronunciation_data_40,0.0,0.96,mfa_labwav,-53.29089864095052,,,24.70605900831078
level2_pronunciation_data_21,0.0,0.816,mfa_labwav,-53.96018721417683,,,24.599105518545485
